run_namespace,cap,horizon_hours,architecture,seed_index,seed,parameter_count,epochs,batch_size,checkpoint_epochs,execution_status,failure_code,sanitized_exception_class,training_runtime_s
p1_ieee_access_upgrade_v2,0.80,1,TCN,1,23,28273,20,256,5|10|15|20,completed,,,1.0650415
p1_ieee_access_upgrade_v2,0.80,1,GRU,2,47,8257,20,256,5|10|15|20,completed,,,0.6317818
p1_ieee_access_upgrade_v2,0.80,1,LSTM,2,47,10993,20,256,5|10|15|20,completed,,,0.6487836
p1_ieee_access_upgrade_v2,0.80,1,DLinear,2,47,106,20,256,5|10|15|20,completed,,,0.5074522
p1_ieee_access_upgrade_v2,0.80,1,TCN,2,47,28273,20,256,5|10|15|20,completed,,,1.0620505
p1_ieee_access_upgrade_v2,0.80,1,GRU,3,59,8257,20,256,5|10|15|20,completed,,,0.6251812
p1_ieee_access_upgrade_v2,0.80,1,LSTM,3,59,10993,20,256,5|10|15|20,completed,,,0.6411445
p1_ieee_access_upgrade_v2,0.80,1,DLinear,3,59,106,20,256,5|10|15|20,completed,,,0.4812625
p1_ieee_access_upgrade_v2,0.80,1,TCN,3,59,28273,20,256,5|10|15|20,completed,,,1.0745764
p1_ieee_access_upgrade_v2,0.80,1,GRU,4,71,8257,20,256,5|10|15|20,completed,,,0.5435279
p1_ieee_access_upgrade_v2,0.80,1,LSTM,4,71,10993,20,256,5|10|15|20,completed,,,0.5713057
p1_ieee_access_upgrade_v2,0.80,1,DLinear,4,71,106,20,256,5|10|15|20,completed,,,0.4136053
p1_ieee_access_upgrade_v2,0.80,1,TCN,4,71,28273,20,256,5|10|15|20,completed,,,0.9214162
p1_ieee_access_upgrade_v2,0.80,1,GRU,5,83,8257,20,256,5|10|15|20,completed,,,0.5652291
p1_ieee_access_upgrade_v2,0.80,1,LSTM,5,83,10993,20,256,5|10|15|20,completed,,,0.5300269
p1_ieee_access_upgrade_v2,0.80,1,DLinear,5,83,106,20,256,5|10|15|20,completed,,,0.4298665
p1_ieee_access_upgrade_v2,0.80,1,TCN,5,83,28273,20,256,5|10|15|20,completed,,,0.9144622
p1_ieee_access_upgrade_v2,0.80,1,GRU,6,97,8257,20,256,5|10|15|20,completed,,,0.5242681
p1_ieee_access_upgrade_v2,0.80,1,LSTM,6,97,10993,20,256,5|10|15|20,completed,,,0.5261668
p1_ieee_access_upgrade_v2,0.80,1,DLinear,6,97,106,20,256,5|10|15|20,completed,,,0.3952605
p1_ieee_access_upgrade_v2,0.80,1,TCN,6,97,28273,20,256,5|10|15|20,completed,,,0.8585378
p1_ieee_access_upgrade_v2,0.80,1,GRU,7,109,8257,20,256,5|10|15|20,completed,,,0.5752851
p1_ieee_access_upgrade_v2,0.80,1,LSTM,7,109,10993,20,256,5|10|15|20,completed,,,0.5507352
p1_ieee_access_upgrade_v2,0.80,1,DLinear,7,109,106,20,256,5|10|15|20,completed,,,0.3792195
p1_ieee_access_upgrade_v2,0.80,1,TCN,7,109,28273,20,256,5|10|15|20,completed,,,0.8756256
p1_ieee_access_upgrade_v2,0.80,1,GRU,8,127,8257,20,256,5|10|15|20,completed,,,0.5390909
p1_ieee_access_upgrade_v2,0.80,1,LSTM,8,127,10993,20,256,5|10|15|20,completed,,,0.5446814
p1_ieee_access_upgrade_v2,0.80,1,DLinear,8,127,106,20,256,5|10|15|20,completed,,,0.4014766
p1_ieee_access_upgrade_v2,0.80,1,TCN,8,127,28273,20,256,5|10|15|20,completed,,,0.8861723
p1_ieee_access_upgrade_v2,0.80,1,GRU,9,139,8257,20,256,5|10|15|20,completed,,,0.5469064
p1_ieee_access_upgrade_v2,0.80,1,LSTM,9,139,10993,20,256,5|10|15|20,completed,,,0.5426163
p1_ieee_access_upgrade_v2,0.80,1,DLinear,9,139,106,20,256,5|10|15|20,completed,,,0.3985848
p1_ieee_access_upgrade_v2,0.80,1,TCN,9,139,28273,20,256,5|10|15|20,completed,,,0.870562
p1_ieee_access_upgrade_v2,0.80,24,GRU,0,11,8257,20,256,5|10|15|20,completed,,,0.561983
p1_ieee_access_upgrade_v2,0.80,24,LSTM,0,11,10993,20,256,5|10|15|20,completed,,,0.5708066
p1_ieee_access_upgrade_v2,0.80,24,DLinear,0,11,106,20,256,5|10|15|20,completed,,,0.4557894
p1_ieee_access_upgrade_v2,0.80,24,TCN,0,11,28273,20,256,5|10|15|20,completed,,,1.0086289
p1_ieee_access_upgrade_v2,0.80,24,GRU,1,23,8257,20,256,5|10|15|20,completed,,,0.5989437
p1_ieee_access_upgrade_v2,0.80,24,LSTM,1,23,10993,20,256,5|10|15|20,completed,,,0.6305692
p1_ieee_access_upgrade_v2,0.80,24,DLinear,1,23,106,20,256,5|10|15|20,completed,,,0.483269
p1_ieee_access_upgrade_v2,0.80,24,TCN,1,23,28273,20,256,5|10|15|20,completed,,,1.0008633
p1_ieee_access_upgrade_v2,0.80,24,GRU,2,47,8257,20,256,5|10|15|20,completed,,,0.6083869
p1_ieee_access_upgrade_v2,0.80,24,LSTM,2,47,10993,20,256,5|10|15|20,completed,,,0.6227321
p1_ieee_access_upgrade_v2,0.80,24,DLinear,2,47,106,20,256,5|10|15|20,completed,,,0.4961495
p1_ieee_access_upgrade_v2,0.80,24,TCN,2,47,28273,20,256,5|10|15|20,completed,,,1.0025371
p1_ieee_access_upgrade_v2,0.80,24,GRU,3,59,8257,20,256,5|10|15|20,completed,,,0.5949001
p1_ieee_access_upgrade_v2,0.80,24,LSTM,3,59,10993,20,256,5|10|15|20,completed,,,0.5905996
p1_ieee_access_upgrade_v2,0.80,24,DLinear,3,59,106,20,256,5|10|15|20,completed,,,0.4319798
p1_ieee_access_upgrade_v2,0.80,24,TCN,3,59,28273,20,256,5|10|15|20,completed,,,0.8550502
p1_ieee_access_upgrade_v2,0.80,24,GRU,4,71,8257,20,256,5|10|15|20,completed,,,0.5308703
p1_ieee_access_upgrade_v2,0.80,24,LSTM,4,71,10993,20,256,5|10|15|20,completed,,,0.5306345
p1_ieee_access_upgrade_v2,0.80,24,DLinear,4,71,106,20,256,5|10|15|20,completed,,,0.4443972
p1_ieee_access_upgrade_v2,0.80,24,TCN,4,71,28273,20,256,5|10|15|20,completed,,,0.8809129
p1_ieee_access_upgrade_v2,0.80,24,GRU,5,83,8257,20,256,5|10|15|20,completed,,,0.573157
p1_ieee_access_upgrade_v2,0.80,24,LSTM,5,83,10993,20,256,5|10|15|20,completed,,,0.5457796
p1_ieee_access_upgrade_v2,0.80,24,DLinear,5,83,106,20,256,5|10|15|20,completed,,,0.382791
p1_ieee_access_upgrade_v2,0.80,24,TCN,5,83,28273,20,256,5|10|15|20,completed,,,0.8502134
p1_ieee_access_upgrade_v2,0.80,24,GRU,6,97,8257,20,256,5|10|15|20,completed,,,0.5610635
p1_ieee_access_upgrade_v2,0.80,24,LSTM,6,97,10993,20,256,5|10|15|20,completed,,,0.5435502
p1_ieee_access_upgrade_v2,0.80,24,DLinear,6,97,106,20,256,5|10|15|20,completed,,,0.4192005
p1_ieee_access_upgrade_v2,0.80,24,TCN,6,97,28273,20,256,5|10|15|20,completed,,,0.8099283
p1_ieee_access_upgrade_v2,0.80,24,GRU,7,109,8257,20,256,5|10|15|20,completed,,,0.5123821
p1_ieee_access_upgrade_v2,0.80,24,LSTM,7,109,10993,20,256,5|10|15|20,completed,,,0.494466
p1_ieee_access_upgrade_v2,0.80,24,DLinear,7,109,106,20,256,5|10|15|20,completed,,,0.3748259
p1_ieee_access_upgrade_v2,0.80,24,TCN,7,109,28273,20,256,5|10|15|20,completed,,,0.8245028
p1_ieee_access_upgrade_v2,0.80,24,GRU,8,127,8257,20,256,5|10|15|20,completed,,,0.5125239
p1_ieee_access_upgrade_v2,0.80,24,LSTM,8,127,10993,20,256,5|10|15|20,completed,,,0.5168052
p1_ieee_access_upgrade_v2,0.80,24,DLinear,8,127,106,20,256,5|10|15|20,completed,,,0.3761778
